"week","total_sequences","deltas","omicrons","perc_deltas","perc_omicrons"
"2021-01-11",35660,4,0,0.000112170499158721,0
"2021-01-25",31756,1,0,3.14901121047991e-05,0
"2021-02-08",34809,1,0,2.87282024763711e-05,0
"2021-02-22",37314,2,0,5.35991852923836e-05,0
"2021-03-08",48900,5,0,0.000102249488752556,0
"2021-03-22",66574,23,0,0.000345480217502328,0
"2021-04-05",77658,97,0,0.00124906641942878,0
"2021-04-19",66041,467,0,0.00707136475825623,0
"2021-05-03",49602,837,0,0.0168743195838877,0
"2021-05-17",27967,1515,0,0.0541709872349555,0
"2021-05-31",19297,3974,0,0.205938746955485,0
"2021-06-14",22654,10114,0,0.446455372119714,0
"2021-06-28",38598,26646,0,0.690346650085497,0
"2021-07-12",85870,70863,0,0.825235821590777,0
"2021-07-26",146717,132005,0,0.899725321537381,0
"2021-08-09",128035,119864,0,0.936181512867575,0
"2021-08-23",134221,128784,0,0.959492180806282,0
"2021-09-06",131143,127207,0,0.969986960798518,0
"2021-09-20",109501,107277,0,0.97968968319924,0
"2021-10-04",106577,104971,0,0.984931082691387,0
"2021-10-18",104672,103354,4,0.987408284928157,3.82146132681137e-05
"2021-11-01",118664,117185,1,0.987536236769366,8.42715566641947e-06
"2021-11-15",102688,101598,63,0.989385322530383,0.000613508881271424
"2021-11-29",123073,117777,4641,0.956968628375029,0.0377093269847976
"2021-12-13",144809,58669,85763,0.405147470115808,0.592249100539331
"2021-12-27",189711,12782,176653,0.0673761669065052,0.931168988619532
"2022-01-10",176118,2285,173784,0.0129742558966148,0.986747521548053
"2022-01-24",143170,471,142682,0.00328979534818747,0.996591464692324
"2022-02-07",104413,117,104254,0.00112055012306897,0.998477201114804
"2022-02-21",50293,60,50138,0.00119300896745074,0.996918060167419
"2022-03-07",31962,28,31880,0.000876040297853701,0.997434453413428
"2022-03-21",38147,20,38050,0.000524287624190631,0.997457205022675
"2022-04-04",47042,9,46889,0.000191318396326687,0.996747587262446
"2022-04-18",40318,1,40163,2.48028176000794e-05,0.996155563271988
"2022-05-02",5632,0,5605,0,0.995205965909091
