"week","total_sequences","deltas","omicrons","ba45","perc_deltas","perc_omicrons","perc_ba45"
"2021-01-11",35804,4,0,0,0.000111719360965255,0,0
"2021-01-25",31768,1,0,0,3.14782170737849e-05,0,0
"2021-02-08",34820,1,0,0,2.87191269385411e-05,0,0
"2021-02-22",37323,2,0,0,5.35862604828122e-05,0,0
"2021-03-08",48910,5,0,0,0.000102228583111838,0,0
"2021-03-22",66582,23,0,0,0.000345438707158091,0,0
"2021-04-05",77663,97,0,0,0.00124898600363107,0,0
"2021-04-19",66041,467,0,0,0.00707136475825623,0,0
"2021-05-03",49602,837,0,0,0.0168743195838877,0,0
"2021-05-17",27967,1515,0,0,0.0541709872349555,0,0
"2021-05-31",19297,3974,0,0,0.205938746955485,0,0
"2021-06-14",22654,10114,0,0,0.446455372119714,0,0
"2021-06-28",38623,26669,0,0,0.690495300727546,0,0
"2021-07-12",85900,70893,0,0,0.825296856810244,0,0
"2021-07-26",146736,132024,0,0,0.899738305528296,0,0
"2021-08-09",128081,119910,0,0,0.936204433132159,0,0
"2021-08-23",134253,128816,0,0,0.9595018360856,0,0
"2021-09-06",131161,127225,0,0,0.969991079665449,0,0
"2021-09-20",109515,107291,0,0,0.979692279596402,0,0
"2021-10-04",106620,105014,0,0,0.984937160007503,0,0
"2021-10-18",104773,103454,4,0,0.987410878756932,3.81777748083953e-05,0
"2021-11-01",118800,117321,1,0,0.987550505050505,8.41750841750842e-06,0
"2021-11-15",102928,101838,63,0,0.98941007306078,0.000612078346028292,0
"2021-11-29",124122,118815,4647,0,0.957243679605549,0.0374389713346546,0
"2021-12-13",145285,58945,85956,7,0.405719792132705,0.59163712702619,4.81811611659841e-05
"2021-12-27",191385,12927,178181,0,0.0675444784073987,0.93100817723437,0
"2022-01-10",177306,2296,174961,0,0.012949364375712,0.986774277238221,0
"2022-01-24",143551,473,143061,0,0.00329499620343989,0.996586578985866,0
"2022-02-07",104557,117,104389,9,0.00111900685750356,0.998393220922559,8.60774505771971e-05
"2022-02-21",50465,60,50264,46,0.00118894283166551,0.996017041513921,0.000911522837610225
"2022-03-07",32114,29,31574,457,0.000903032945132964,0.983184903780283,0.0142305536526126
"2022-03-21",38591,21,35970,2520,0.000544168329403229,0.932082609934959,0.0653001995283874
"2022-04-04",48970,10,39993,8817,0.000204206657137023,0.816683683888095,0.180049009597713
"2022-04-18",48734,1,33341,15220,2.05195551360447e-05,0.684142487790865,0.3123076291706
"2022-05-02",18898,0,10579,8251,0,0.559794687268494,0.436607048364906
