"Country","State","date","Weekly Cases","delta","BA 1.1.5 (omicron)","BA 1.1","B.A.2","BA 2.12"
"USA","New Jersey",2021-11-21,32588,0.983,0.017,0,0,0
"USA","New Jersey",2021-11-28,23947,0.992,0.00800000000000001,0,0,0
"USA","New Jersey",2021-12-05,18461,0.892,0.108,0,0,0
"USA","New Jersey",2021-12-12,14906,0.592,0.408,0,0,0
"USA","New Jersey",2021-12-19,14453,0.209,0.791,0,0,0
"USA","New Jersey",2021-12-26,11057,0.073,0.927,0,0,0
"USA","New Jersey",2022-01-02,8438,0.029,0.971,0,0,0
"USA","New Jersey",2022-01-09,6664,0.022,0.978,0,0,0
"USA","New Jersey",2022-01-16,6785,0.014,0.986,0,0,0
"USA","New Jersey",2022-01-23,7117,0.002,0.998,0,0,0
"USA","New Jersey",2022-01-30,8329,0,0.969,0,0.031,0
"USA","New Jersey",2022-02-06,10084,0,0.218,0.708,0.071,0
"USA","New Jersey",2022-02-13,11350,0,0.137,0.4,0.463,0
"USA","New Jersey",2022-02-20,14859,0,0.171,0.61,0.219,0
"USA","New Jersey",2022-02-27,21585,0,0.136,0.569,0.295,0
"USA","New Jersey",2022-03-06,49109,0,0.088,0.421,0.491,0
"USA","New Jersey",2022-03-13,79440,0,0.03,0.268,0.702,0
"USA","New Jersey",2022-03-20,163894,0,0.014,0.176,0.81,0
"USA","New Jersey",2022-03-27,218519,0,0.009,0.095,0.896,0.104
"USA","New Jersey",2022-04-03,166888,0,0,0.043,0.779,0.129
"USA","New Jersey",2022-04-10,91384,0,0,0.024,0.736,0.199
"USA","New Jersey",2022-04-17,38771,0,0,0.012,0.724,0.249
"USA","New Jersey",2022-04-24,30369,0,0,0,0.604,0.384
"USA","New Jersey",2022-05-01,23888,0,0,0,0.539,0.461
"USA","New Jersey",2022-05-08,14978,0,0,0,0.421,0.56
