"state","week","deltas","omicrons","ba45","total_sequences","prop_omicrons","prop_deltas","prop_ba45"
"California",2020-04-27,0,0,0,537,0,0,0
"California",2020-05-11,0,0,0,525,0,0,0
"California",2020-05-25,0,0,0,403,0,0,0
"California",2020-06-08,0,0,0,371,0,0,0
"California",2020-06-22,0,0,0,477,0,0,0
"California",2020-07-06,0,0,0,900,0,0,0
"California",2020-07-20,0,0,0,553,0,0,0
"California",2020-08-03,0,0,0,338,0,0,0
"California",2020-08-17,0,0,0,412,0,0,0
"California",2020-08-31,0,0,0,521,0,0,0
"California",2020-09-14,0,0,0,500,0,0,0
"California",2020-09-28,0,0,0,887,0,0,0
"California",2020-10-12,0,0,0,787,0,0,0
"California",2020-10-26,0,0,0,795,0,0,0
"California",2020-11-09,0,0,0,1663,0,0,0
"California",2020-11-23,0,0,0,3385,0,0,0
"California",2020-12-07,0,0,0,12268,0,0,0
"California",2020-12-21,5,0,0,10492,0,0.000476553564620663,0
"California",2021-01-11,0,0,0,10957,0,0,0
"California",2021-01-25,0,0,0,12886,0,0,0
"California",2021-02-08,0,0,0,10426,0,0,0
"California",2021-02-22,1,0,0,7891,0,0.000126726650614624,0
"California",2021-03-08,2,0,0,7572,0,0.000264131008980454,0
"California",2021-03-22,2,0,0,6717,0,0.000297751972606819,0
"California",2021-04-05,28,0,0,6373,0,0.0043935352267378,0
"California",2021-04-19,102,0,0,5696,0,0.0179073033707865,0
"California",2021-05-03,94,0,0,5164,0,0.0182029434546863,0
"California",2021-05-17,140,0,0,3350,0,0.0417910447761194,0
"California",2021-05-31,522,0,0,2893,0,0.180435534047701,0
"California",2021-06-14,1819,0,0,4360,0,0.417201834862385,0
"California",2021-06-28,6031,0,0,9771,0,0.617234674035411,0
"California",2021-07-12,20825,0,0,26804,0,0.776936278167438,0
"California",2021-07-26,33265,0,0,39124,0,0.850245373683672,0
"California",2021-08-09,24132,0,0,27034,0,0.892653695346601,0
"California",2021-08-23,18048,0,0,19791,0,0.911929664999242,0
"California",2021-09-06,15381,0,0,16590,0,0.927124773960217,0
"California",2021-09-20,13119,0,0,13709,0,0.956962579327449,0
"California",2021-10-04,13718,0,0,14192,0,0.966600901916573,0
"California",2021-10-18,17518,1,0,17871,5.59565776957081e-05,0.980247328073415,0
"California",2021-11-01,20097,1,0,20457,4.88830229261378e-05,0.98240211174659,0
"California",2021-11-15,16057,5,0,16236,0.000307957625030796,0.988975117023898,0
"California",2021-11-29,21946,281,0,22387,0.0125519274578997,0.980301067583866,0
"California",2021-12-13,12777,24315,0,37164,0.65426218921537,0.343800452050371,0
"California",2021-12-27,1695,31280,0,32994,0.948051160817118,0.0513729769048918,0
"California",2022-01-10,230,22568,0,22800,0.989824561403509,0.0100877192982456,0
"California",2022-01-24,57,25401,0,25460,0.997682639434407,0.00223880597014925,0
"California",2022-02-07,15,26433,0,26455,0.999168399168399,0.000567000567000567,0
"California",2022-02-21,7,10220,0,10248,0.997267759562842,0.000683060109289617,0
"California",2022-03-07,4,4849,4,4880,0.993647540983607,0.000819672131147541,0.000819672131147541
"California",2022-03-21,4,5130,91,5253,0.976584808680754,0.000761469636398249,0.0173234342280602
"California",2022-04-04,2,5526,475,6034,0.915810407689758,0.000331455087835598,0.0787205833609546
"California",2022-04-18,1,5669,1599,7323,0.774136282944149,0.000136556056261095,0.218353133961491
"California",2022-05-02,0,5352,3504,8911,0.600605992593424,0,0.393221860621704
"California",2022-05-16,0,2376,3073,5480,0.433576642335766,0,0.560766423357664
"California",2022-05-30,0,34,68,103,0.330097087378641,0,0.660194174757282
