"date","nc_case_day"
"2021-01-01",2906
"2021-01-02",15966
"2021-01-03",5318
"2021-01-04",6758
"2021-01-05",6291
"2021-01-06",6385
"2021-01-07",10614
"2021-01-08",9879
"2021-01-09",9528
"2021-01-10",8788
"2021-01-11",7842
"2021-01-12",5336
"2021-01-13",5322
"2021-01-14",8812
"2021-01-15",8892
"2021-01-16",8458
"2021-01-17",6606
"2021-01-18",-263
"2021-01-19",8465
"2021-01-20",8787
"2021-01-21",5900
"2021-01-22",9288
"2021-01-23",6352
"2021-01-24",5655
"2021-01-25",5199
"2021-01-26",4491
"2021-01-27",4898
"2021-01-28",6760
"2021-01-29",7019
"2021-01-30",626
"2021-01-31",10210
"2021-02-01",5200
"2021-02-02",3020
"2021-02-03",10693
"2021-02-04",6504
"2021-02-05",4941
"2021-02-06",4102
"2021-02-07",4368
"2021-02-08",2893
"2021-02-09",4056
"2021-02-10",3619
"2021-02-11",4601
"2021-02-12",4057
"2021-02-13",3539
"2021-02-14",2791
"2021-02-15",3150
"2021-02-16",2293
"2021-02-17",2947
"2021-02-18",3991
"2021-02-19",3203
"2021-02-20",3189
"2021-02-21",2080
"2021-02-22",2689
"2021-02-23",1568
"2021-02-24",3308
"2021-02-25",3434
"2021-02-26",2809
"2021-02-27",2324
"2021-02-28",0
"2021-03-01",3353
"2021-03-02",1776
"2021-03-03",2069
"2021-03-04",2639
"2021-03-05",2043
"2021-03-06",1762
"2021-03-07",0
"2021-03-08",2797
"2021-03-09",1246
"2021-03-10",1815
"2021-03-11",2083
"2021-03-12",1965
"2021-03-13",813
"2021-03-14",0
"2021-03-15",3114
"2021-03-16",1795
"2021-03-17",1687
"2021-03-18",2329
"2021-03-19",1773
"2021-03-20",1809
"2021-03-21",0
"2021-03-22",2908
"2021-03-23",1243
"2021-03-24",2064
"2021-03-25",2055
"2021-03-26",2105
"2021-03-27",0
"2021-03-28",0
"2021-03-29",5256
"2021-03-30",1489
"2021-03-31",1941
"2021-04-01",2018
"2021-04-02",0
"2021-04-03",0
"2021-04-04",91
"2021-04-05",6123
"2021-04-06",994
"2021-04-07",1389
"2021-04-08",2024
"2021-04-09",2276
"2021-04-10",0
"2021-04-11",99
"2021-04-12",5693
"2021-04-13",1598
"2021-04-14",2348
"2021-04-15",2332
"2021-04-16",2308
"2021-04-17",0
"2021-04-18",0
"2021-04-19",5621
"2021-04-20",1290
"2021-04-21",1792
"2021-04-22",2339
"2021-04-23",1994
"2021-04-24",185
"2021-04-25",0
"2021-04-26",5008
"2021-04-27",1634
"2021-04-28",1785
"2021-04-29",1945
"2021-04-30",2257
"2021-05-01",74
"2021-05-02",0
"2021-05-03",4179
"2021-05-04",1207
"2021-05-05",1407
"2021-05-06",1870
"2021-05-07",1861
"2021-05-08",161
"2021-05-09",0
"2021-05-10",3289
"2021-05-11",1017
"2021-05-12",1480
"2021-05-13",1353
"2021-05-14",1368
"2021-05-15",249
"2021-05-16",0
"2021-05-17",2406
"2021-05-18",691
"2021-05-19",976
"2021-05-20",1116
"2021-05-21",1082
"2021-05-22",126
"2021-05-23",0
"2021-05-24",2147
"2021-05-25",684
"2021-05-26",802
"2021-05-27",904
"2021-05-28",769
"2021-05-29",8
"2021-05-30",68
"2021-05-31",0
"2021-06-01",1900
"2021-06-02",410
"2021-06-03",496
"2021-06-04",667
"2021-06-05",0
"2021-06-06",61
"2021-06-07",1231
"2021-06-08",357
"2021-06-09",552
"2021-06-10",469
"2021-06-11",421
"2021-06-12",37
"2021-06-13",0
"2021-06-14",1136
"2021-06-15",326
"2021-06-16",350
"2021-06-17",392
"2021-06-18",192
"2021-06-19",29
"2021-06-20",0
"2021-06-21",724
"2021-06-22",337
"2021-06-23",461
"2021-06-24",442
"2021-06-25",396
"2021-06-26",3
"2021-06-27",8
"2021-06-28",850
"2021-06-29",236
"2021-06-30",306
"2021-07-01",285
"2021-07-02",396
"2021-07-03",54
"2021-07-04",0
"2021-07-05",0
"2021-07-06",1325
"2021-07-07",570
"2021-07-08",642
"2021-07-09",545
"2021-07-10",57
"2021-07-11",0
"2021-07-12",1727
"2021-07-13",657
"2021-07-14",968
"2021-07-15",1030
"2021-07-16",1030
"2021-07-17",116
"2021-07-18",0
"2021-07-19",2898
"2021-07-20",808
"2021-07-21",1473
"2021-07-22",1768
"2021-07-23",1655
"2021-07-24",0
"2021-07-25",0
"2021-07-26",5486
"2021-07-27",1977
