,Unnamed: 0,week,total_sequences,deltas,omicrons,ba45,perc_deltas,perc_omicrons,perc_ba45,numDelta,numOmicron,numBA45,biweeklyDates,biweeklyCases,logistic_perc_deltas,logistic_perc_omicron,logistic_perc_ba45,date_time
0,0,2020-12-21,36771,11,0,0,0.000299148785727883,0.0,0.0,18.13529683718145,0.0,0.0,Dec 21 2021,60623,-8.114270303671255,-inf,-inf,2020-12-21
1,1,2021-01-11,35804,4,0,0,0.000111719360965255,0.0,0.0,4.172047815886483,0.0,0.0,Jan 11 2021,37344,-9.099408811268903,-inf,-inf,2021-01-11
2,2,2021-01-25,31768,1,0,0,3.14782170737849e-05,0.0,0.0,0.7863573407202206,0.0,0.0,Jan 25 2021,24981,-10.366183294098565,-inf,-inf,2021-01-25
3,3,2021-02-08,34820,1,0,0,2.87191269385411e-05,0.0,0.0,0.7670878805284328,0.0,0.0,Feb  8 2021,26710,-10.457918493782838,-inf,-inf,2021-02-08
4,4,2021-02-22,37323,2,0,0,5.35862604828122e-05,0.0,0.0,2.066714894301101,0.0,0.0,Feb 22 2021,38568,-9.834164269326378,-inf,-inf,2021-02-22
5,5,2021-03-08,48910,5,0,0,0.000102228583111838,0.0,0.0,7.936311592721321,0.0,0.0,Mar  8 2021,77633,-9.188197007290494,-inf,-inf,2021-03-08
6,6,2021-03-22,66582,23,0,0,0.00034543870715809103,0.0,0.0,85.2418371331592,0.0,0.0,Mar 22 2021,246764,-7.970349835414616,-inf,-inf,2021-03-22
7,7,2021-04-05,77663,97,0,0,0.00124898600363107,0.0,0.0,869.5390597839363,0.0,0.0,Apr  5 2021,696196,-6.68417348732476,-inf,-inf,2021-04-05
8,8,2021-04-19,66041,467,0,0,0.00707136475825623,0.0,0.0,5381.7752911070365,0.0,0.0,Apr 19 2021,761066,-4.944605297235832,-inf,-inf,2021-04-19
9,9,2021-05-03,49602,837,0,0,0.0168743195838877,0.0,0.0,4314.1560420950655,0.0,0.0,May  3 2021,255664,-4.064944050916643,-inf,-inf,2021-05-03
10,10,2021-05-17,27967,1515,0,0,0.0541709872349555,0.0,0.0,6482.100332534776,0.0,0.0,May 17 2021,119660,-2.859916330851083,-inf,-inf,2021-05-17
11,11,2021-05-31,19297,3974,0,0,0.20593874695548495,0.0,0.0,16586.924496035626,0.0,0.0,May 31 2021,80543,-1.3495818234664163,-inf,-inf,2021-05-31
12,12,2021-06-14,22654,10114,0,0,0.446455372119714,0.0,0.0,37724.586033371605,0.0,0.0,Jun 14 2021,84498,-0.21500293254698324,-inf,-inf,2021-06-14
